id,date,link,title,reviews,rating,label,helpful,not_helpful
B00ZV9RDKK,"on March 7, 2018",amzn1.account.AEOTVLGDO2PBU5E4NIZKH56E55GQ,Worked for 2 months then broke and now crashes my internet.,"Things i liked.<br />1. I was able to watch netflix on my TV. Thats it, i didn't like anything else about it and here's why<br /><br />I was excited at first after only being able to watch netflix on my computer for a couple months, everything was going smoothly and then....i got a notification from my ISP that i have exceeded my monthly cap this made me go ???? As it was the 2nd week into the month and also it was almost impossible to reach that at least for me, i quickly realized it had to be the fire stick sucking up tons of data in the matter of just a few days, i changed some settings dealt with isp and thought that would be it, next thing i know my intetnet is constantly crashing i thought it was my isp throttling me so i lived with it till the new pay month, and when my internet kept crashing i had to look into it. After about a hour i realized that it was the fire stick crashing my net for some reason, i even reset it completely and it STILL crashed it. But when unplugged everything works fine. You get 1 star Amazon this is not a normal thing for me, but i won't be buying anymore amazon tech ever again. To anyone reading this don't waste your money, go buy a roku they are 100x better then this.",1,negative,0,0
B00ZV9RDKK,"on March 9, 2018",amzn1.account.AHS72UD7AWJAUHLR2W75YLBXFW3Q,I love everything Amazon but I received a fire tv for ...,"I love everything Amazon but I received a fire tv for Christmas, then bought a fire stick for the living room, and shortly after bought another fire stick for another room. Well slowly the fire tv would turn on then immediately off and would not work, then the fire stick now does the same and will not work. I am on my last fire stick and have been severely disappointed because even when I reached out for help i didn’t get much.",1,negative,0,0
B00ZV9RDKK,"on July 1, 2018",amzn1.account.AHXYKFHPBVNK5QTRUPEKDPWWYSIQ,Fantastic! I love it!,"Excellent product! And the best customer service you can get, I had a problem with the remote, let them know and got a replacement one inmediately without problems and super fast. The person who answered the email was nice and after I could not get it working with the instructions the new remote was shipped the very next day.<br />Honestly fantastic, already bought two fire sticks and I will buy a third now!",5,positive,0,0
B00ZV9RDKK,"on July 18, 2018",amzn1.account.AHMH42RPSJBNAZGQ24YGNMJXG7XA,??,Ordered it March 4th.it just stopped working at the end of june.even with new Batteries.,1,negative,0,0
B00ZV9RDKK,"on March 11, 2018",amzn1.account.AGAYVQYQ463LOPWAAWXKFUOAGFSQ,Need the connection to hardwire it for internet!!!,Though the content is wonderful and beyond comparison the built in wifi capability is basically nill and it is imperative that u buy the attachment that hardwires it into your modem.,3,negative,0,0
B00ZV9RDKK,"on July 12, 2018",amzn1.account.AF3GQUEQOZOPNOHW3YA4PPGO7EVA,Best invention ever!,Best thing ever!! Super easy to set up and start watching. Will be ordering a few more for other TVs in my house.,5,positive,0,0
B00ZV9RDKK,"on July 7, 2018",amzn1.account.AFQBMYVKL54MLMVQUQSWDZVKOJVQ,Five Stars,Great!!!,5,positive,0,0
B00ZV9RDKK,"on July 5, 2018",amzn1.account.AHTENNOZQT6XUF7PYYUWFV3IIXTQ,work for me like charm,This prodact deliverd very fast good pack and work for me thenks,5,positive,0,0
B00ZV9RDKK,"on July 13, 2018",amzn1.account.AHL4Z3CVFLFZW6SUVKJHH2ZNF2WQ,Works just as expected,"Works just as expected, got a great deal on a sale for being a prime member",4,positive,0,0
B00ZV9RDKK,"on June 29, 2018",amzn1.account.AEIULQTYL6KAC2TOAX2PCYHPMVVQ,Sketchy Netflix blocking,"WiFi connection on 5GHz is flaky at best, magically Netflix can't connect to the internet 95% of the time but *surprise* Amazon Video works just fine with the same internet connection.  Switched to Roku, issues gone and interface is 3x better. I love my Amazon but fire stick is now in 30 pieces on my garage floor.",2,negative,0,0
